                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5577,                 1.9513,                 2.0534,                0.73223,                0.40647,                0.44821,                0.23034,                 1.9082,                 2.2813,                 2.7539,               0.005644,               0.005644,               0.005644
                     46,                 1.5904,                 1.9693,                 2.0891,                0.72635,                0.40755,                0.42266,                0.22977,                   1.82,                 2.3336,                 2.7195,               0.005545,               0.005545,               0.005545
                     47,                 1.5793,                 1.9712,                 2.0659,                0.69781,                0.42371,                 0.4304,                0.23684,                 1.8559,                 2.2541,                 2.7421,               0.005446,               0.005446,               0.005446
                     48,                 1.5679,                 1.9866,                 2.0764,                0.59916,                0.47562,                0.41932,                0.22955,                   1.88,                 2.2112,                  2.807,               0.005347,               0.005347,               0.005347
                     49,                 1.5675,                 1.9732,                 2.0774,                0.59193,                0.45191,                0.39996,                0.22007,                 1.8328,                 2.3171,                 2.7125,               0.005248,               0.005248,               0.005248
                     50,                 1.5243,                 1.8803,                 2.0375,                0.66865,                 0.4253,                0.43213,                0.21933,                 1.7715,                 2.2559,                 2.7047,               0.005149,               0.005149,               0.005149
                     51,                 1.5206,                 1.9378,                 2.0502,                0.63899,                0.43715,                 0.4356,                 0.2409,                 1.8455,                 2.2844,                 2.7264,                0.00505,                0.00505,                0.00505
                     52,                 1.5513,                 1.8951,                 2.0585,                0.68125,                0.43729,                0.42476,                0.23691,                 1.8425,                 2.3145,                 2.7281,               0.004951,               0.004951,               0.004951
                     53,                 1.5378,                  1.912,                 2.0425,                0.72627,                0.43615,                0.42707,                0.23262,                 1.8753,                 2.3479,                 2.8308,               0.004852,               0.004852,               0.004852
                     54,                 1.5329,                 1.9194,                 2.0497,                0.62463,                0.46038,                 0.4316,                0.25688,                 1.7896,                   2.21,                 2.7126,               0.004753,               0.004753,               0.004753
                     55,                 1.5308,                 1.9438,                 2.0414,                0.61149,                0.46567,                0.40511,                0.23139,                 1.8406,                 2.2759,                 2.7155,               0.004654,               0.004654,               0.004654
                     56,                 1.5359,                 1.9184,                 2.0344,                0.61933,                0.45837,                0.42585,                0.24906,                  1.804,                 2.2437,                 2.6944,               0.004555,               0.004555,               0.004555
                     57,                  1.546,                 1.9233,                  2.056,                0.66379,                0.48789,                0.44589,                0.24792,                 1.7907,                 2.2053,                 2.6806,               0.004456,               0.004456,               0.004456
                     58,                 1.5531,                 1.9406,                 2.0492,                0.63733,                0.43223,                0.41541,                0.23025,                 1.8123,                 2.2686,                 2.7146,               0.004357,               0.004357,               0.004357
                     59,                 1.5258,                 1.9048,                 2.0329,                0.67753,                0.44478,                0.44294,                0.25291,                 1.8032,                 2.2598,                 2.6516,               0.004258,               0.004258,               0.004258
                     60,                 1.5326,                 1.8959,                 2.0482,                0.70144,                0.42648,                0.42154,                0.24528,                 1.7943,                 2.1719,                 2.6673,               0.004159,               0.004159,               0.004159
                     61,                 1.5076,                 1.8572,                 2.0018,                0.60773,                 0.4716,                0.42967,                0.24726,                 1.8571,                 2.2485,                 2.7135,                0.00406,                0.00406,                0.00406
                     62,                 1.5506,                 1.9267,                 2.0325,                0.61737,                0.46086,                0.41564,                0.22465,                 1.7839,                 2.1749,                 2.6759,               0.003961,               0.003961,               0.003961
                     63,                 1.5457,                 1.9079,                 2.0293,                0.57879,                0.42504,                0.41177,                0.23791,                 1.8178,                  2.267,                  2.702,               0.003862,               0.003862,               0.003862
                     64,                  1.489,                 1.7948,                 1.9927,                0.64561,                0.43864,                0.40968,                0.22294,                 1.7615,                 2.2378,                 2.6904,               0.003763,               0.003763,               0.003763
                     65,                 1.5313,                 1.8752,                 2.0225,                0.68336,                0.42504,                0.41079,                0.23814,                 1.7706,                 2.2657,                 2.6836,               0.003664,               0.003664,               0.003664
                     66,                 1.4896,                 1.8492,                  1.995,                0.65887,                0.43864,                0.42186,                0.23038,                 1.7707,                 2.1681,                 2.6994,               0.003565,               0.003565,               0.003565
                     67,                 1.5093,                 1.8756,                 2.0066,                 0.6877,                0.42371,                0.41655,                0.21074,                 1.8698,                 2.2119,                   2.79,               0.003466,               0.003466,               0.003466
                     68,                 1.4521,                 1.8345,                 1.9609,                 0.6192,                0.48308,                0.42157,                0.23916,                 1.7563,                 2.2035,                 2.6539,               0.003367,               0.003367,               0.003367
                     69,                 1.5092,                 1.9008,                 2.0132,                0.61259,                0.47562,                0.41268,                0.22984,                 1.7827,                 2.1822,                 2.7093,               0.003268,               0.003268,               0.003268
                     70,                 1.4816,                 1.8712,                 1.9711,                0.57434,                0.48308,                0.43145,                0.24426,                 1.7708,                 2.2244,                 2.6508,               0.003169,               0.003169,               0.003169
                     71,                 1.4652,                 1.8331,                 1.9738,                0.69993,                 0.4263,                0.40771,                 0.2231,                 1.7894,                 2.2565,                 2.6863,                0.00307,                0.00307,                0.00307
